TIME,measurement_type,measurement_value
01:00:00,nan,
01:00:01,temperature,35.0
01:00:02,nan,
01:00:03,nan,
01:00:04,nan,
01:00:05,nan,
01:00:06,nan,
01:00:07,nan,
01:00:08,nan,
01:00:09,nan,
01:00:10,nan,
01:00:11,nan,
01:00:12,nan,
01:00:13,nan,
01:00:14,nan,
01:00:15,nan,
01:00:16,nan,
01:00:17,nan,
01:00:18,nan,
01:00:19,nan,
01:00:20,nan,
01:00:21,nan,
01:00:22,nan,
01:00:23,nan,
01:00:24,nan,
01:00:25,nan,
01:00:26,nan,
01:00:27,nan,
01:00:28,nan,
01:00:29,nan,
01:00:30,nan,
01:00:31,nan,
01:00:32,nan,
01:00:33,nan,
01:00:34,nan,
01:00:35,nan,
01:00:36,nan,
01:00:37,nan,
01:00:38,nan,
01:00:39,nan,
01:00:40,nan,
01:00:41,nan,
01:00:42,nan,
01:00:43,nan,
01:00:44,nan,
01:00:45,nan,
01:00:46,nan,
01:00:47,nan,
01:00:48,nan,
01:00:49,nan,
01:00:50,nan,
01:00:51,temperature,38.93
01:00:52,nan,
01:00:53,nan,
01:00:54,nan,
01:00:55,nan,
01:00:56,nan,
01:00:57,HeartRate,78.32
01:00:58,nan,
01:00:59,nan,
01:01:00,nan,
01:01:01,nan,
01:01:02,nan,
01:01:03,nan,
01:01:04,nan,
01:01:05,nan,
01:01:06,nan,
01:01:07,nan,
01:01:08,nan,
01:01:09,nan,
01:01:10,nan,
01:01:11,nan,
01:01:12,nan,
01:01:13,nan,
01:01:14,nan,
01:01:15,nan,
01:01:16,nan,
01:01:17,nan,
01:01:18,nan,
01:01:19,nan,
01:01:20,nan,
01:01:21,nan,
01:01:22,nan,
01:01:23,nan,
01:01:24,temperature,35.09
01:01:25,nan,
01:01:26,nan,
01:01:27,nan,
01:01:28,nan,
01:01:29,nan,
01:01:30,nan,
01:01:31,HeartRate,46.59
01:01:32,HeartRate,110.52
01:01:33,nan,
01:01:34,nan,
01:01:35,nan,
01:01:36,nan,
01:01:37,temperature,40.52
01:01:38,nan,
01:01:39,nan,
01:01:40,nan,
01:01:41,nan,
01:01:42,SpO2,96.24
01:01:43,nan,
01:01:44,nan,
01:01:45,nan,
01:01:46,SpO2,92.33
01:01:47,nan,
01:01:48,nan,
01:01:49,nan,
01:01:50,nan,
01:01:51,nan,
01:01:52,nan,
01:01:53,nan,
01:01:54,nan,
01:01:55,nan,
01:01:56,nan,
01:01:57,nan,
01:01:58,nan,
01:01:59,nan,
01:02:00,nan,
01:02:01,SpO2,97.82
01:02:02,nan,
01:02:03,nan,
01:02:04,nan,
01:02:05,nan,
01:02:06,nan,
01:02:07,temperature,41.83
01:02:08,nan,
01:02:09,nan,
01:02:10,nan,
01:02:11,nan,
01:02:12,nan,
01:02:13,nan,
01:02:14,nan,
01:02:15,nan,
01:02:16,nan,
01:02:17,nan,
01:02:18,nan,
01:02:19,nan,
01:02:20,nan,
01:02:21,nan,
01:02:22,nan,
01:02:23,nan,
01:02:24,nan,
01:02:25,nan,
01:02:26,nan,
01:02:27,nan,
01:02:28,nan,
01:02:29,nan,
01:02:30,nan,
01:02:31,nan,
01:02:32,nan,
01:02:33,nan,
01:02:34,nan,
01:02:35,nan,
01:02:36,nan,
01:02:37,nan,
01:02:38,nan,
01:02:39,nan,
01:02:40,nan,
01:02:41,nan,
01:02:42,nan,
01:02:43,nan,
01:02:44,nan,
01:02:45,HeartRate,73.7
01:02:46,nan,
01:02:47,nan,
01:02:48,nan,
01:02:49,nan,
01:02:50,SpO2,97.61
01:02:51,nan,
01:02:52,nan,
01:02:53,nan,
01:02:54,nan,
01:02:55,nan,
01:02:56,nan,
01:02:57,nan,
01:02:58,nan,
01:02:59,nan,
01:03:00,nan,
01:03:01,nan,
01:03:02,nan,
01:03:03,nan,
01:03:04,nan,
01:03:05,nan,
01:03:06,nan,
01:03:07,HeartRate,55.3
01:03:08,nan,
01:03:09,nan,
01:03:10,nan,
01:03:11,nan,
01:03:12,nan,
01:03:13,nan,
01:03:14,nan,
01:03:15,nan,
01:03:16,nan,
01:03:17,nan,
01:03:18,nan,
01:03:19,nan,
01:03:20,nan,
