TIME,measurement_type,measurement_value
09:02:23,temperature,36.32
09:01:30,temperature,36.55
09:03:28,temperature,37.71
09:04:07,temperature,38.55
09:04:23,temperature,38.62
09:03:04,temperature,38.77
09:02:29,temperature,39.47
09:02:48,temperature,40.0
09:03:06,temperature,40.24
09:01:38,temperature,40.37
09:04:29,temperature,40.53
09:04:02,HeartRate,45.12
09:02:46,HeartRate,45.38
09:04:27,HeartRate,55.55
09:02:07,HeartRate,59.36
09:03:55,HeartRate,59.52
09:02:30,HeartRate,73.25
09:04:18,HeartRate,78.56
09:04:26,HeartRate,79.56
09:04:04,HeartRate,84.88
09:03:45,SpO2,93.1
09:02:19,SpO2,94.15
09:04:01,SpO2,95.12
09:03:05,SpO2,95.46
09:04:44,SpO2,95.49
09:01:28,SpO2,96.02
09:03:47,HeartRate,100.09
09:00:55,HeartRate,103.28
09:03:50,HeartRate,115.5
09:03:20,HeartRate,118.27
09:00:56,,
09:00:57,,
09:00:58,,
09:00:59,,
09:01:00,,
09:01:01,,
09:01:02,,
09:01:03,,
09:01:04,,
09:01:05,,
09:01:06,,
09:01:07,,
09:01:08,,
09:01:09,,
09:01:10,,
09:01:11,,
09:01:12,,
09:01:13,,
09:01:14,,
09:01:15,,
09:01:16,,
09:01:17,,
09:01:18,,
09:01:19,,
09:01:20,,
09:01:21,,
09:01:22,,
09:01:23,,
09:01:24,,
09:01:25,,
09:01:26,,
09:01:27,,
09:01:29,,
09:01:31,,
09:01:32,,
09:01:33,,
09:01:34,,
09:01:35,,
09:01:36,,
09:01:37,,
09:01:39,,
09:01:40,,
09:01:41,,
09:01:42,,
09:01:43,,
09:01:44,,
09:01:45,,
09:01:46,,
09:01:47,,
09:01:48,,
09:01:49,,
09:01:50,,
09:01:51,,
09:01:52,,
09:01:53,,
09:01:54,,
09:01:55,,
09:01:56,,
09:01:57,,
09:01:58,,
09:01:59,,
09:02:00,,
09:02:01,,
09:02:02,,
09:02:03,,
09:02:04,,
09:02:05,,
09:02:06,,
09:02:08,,
09:02:09,,
09:02:10,,
09:02:11,,
09:02:12,,
09:02:13,,
09:02:14,,
09:02:15,,
09:02:16,,
09:02:17,,
09:02:18,,
09:02:20,,
09:02:21,,
09:02:22,,
09:02:24,,
09:02:25,,
09:02:26,,
09:02:27,,
09:02:28,,
09:02:31,,
09:02:32,,
09:02:33,,
09:02:34,,
09:02:35,,
09:02:36,,
09:02:37,,
09:02:38,,
09:02:39,,
09:02:40,,
09:02:41,,
09:02:42,,
09:02:43,,
09:02:44,,
09:02:45,,
09:02:47,,
09:02:49,,
09:02:50,,
09:02:51,,
09:02:52,,
09:02:53,,
09:02:54,,
09:02:55,,
09:02:56,,
09:02:57,,
09:02:58,,
09:02:59,,
09:03:00,,
09:03:01,,
09:03:02,,
09:03:03,,
09:03:07,,
09:03:08,,
09:03:09,,
09:03:10,,
09:03:11,,
09:03:12,,
09:03:13,,
09:03:14,,
09:03:15,,
09:03:16,,
09:03:17,,
09:03:18,,
09:03:19,,
09:03:21,,
09:03:22,,
09:03:23,,
09:03:24,,
09:03:25,,
09:03:26,,
09:03:27,,
09:03:29,,
09:03:30,,
09:03:31,,
09:03:32,,
09:03:33,,
09:03:34,,
09:03:35,,
09:03:36,,
09:03:37,,
09:03:38,,
09:03:39,,
09:03:40,,
09:03:41,,
09:03:42,,
09:03:43,,
09:03:44,,
09:03:46,,
09:03:48,,
09:03:49,,
09:03:51,,
09:03:52,,
09:03:53,,
09:03:54,,
09:03:56,,
09:03:57,,
09:03:58,,
09:03:59,,
09:04:00,,
09:04:03,,
09:04:05,,
09:04:06,,
09:04:08,,
09:04:09,,
09:04:10,,
09:04:11,,
09:04:12,,
09:04:13,,
09:04:14,,
09:04:15,,
09:04:16,,
09:04:17,,
09:04:19,,
09:04:20,,
09:04:21,,
09:04:22,,
09:04:24,,
09:04:25,,
09:04:28,,
09:04:30,,
09:04:31,,
09:04:32,,
09:04:33,,
09:04:34,,
09:04:35,,
09:04:36,,
09:04:37,,
09:04:38,,
09:04:39,,
09:04:40,,
09:04:41,,
09:04:42,,
09:04:43,,
09:04:45,,
09:04:46,,
09:04:47,,
09:04:48,,
09:04:49,,
09:04:50,,
09:04:51,,
09:04:52,,
09:04:53,,
09:04:54,,
09:04:55,,
09:04:56,,
09:04:57,,
09:04:58,,
09:04:59,,
09:05:00,,
